Ticker,변동성,평균 주간 수익률
A258840,,
A259070,,
A260270,,
A260660,0.221875009,-0.095709841
A261140,0.106102873,-0.002067065
A261200,0.072253183,0.002493766
A261220,0.347219247,-0.003694581
A262260,0.069164719,-0.170655567
A262840,,
A263020,0.269420195,-0.101123596
A263540,0.713603648,-0.185365854
A263720,0.481221441,-0.027664975
A263750,0.145065795,0.101851852
A263860,0.174641843,0.18816039
A264850,0.09775628,-0.005186233
A265920,,
A266390,0.105299129,0.016037454
A266550,0.108521538,0.000915751
A267260,0.665724536,0.078494985
A267290,0.243506205,0.148760331
A267320,0.322480912,0.042913608
A267980,0.106410871,-0.037825059
A269530,0.0849599,0.016552866
A269620,0.580026318,0.068181818
A270660,1.052005169,0
A270800,0.110947867,0.006638826
A271530,,
A271980,0.254780228,0.105093544
A272810,,
A273060,0.059882227,0.01284585
A275630,0.427016841,-0.149606299
A277410,0.277580445,0.028887001
A277540,0.103257306,-0.002467917
A279120,,
A281410,,
A281740,0.12246585,0
A282880,0.118116724,-0.057394112
A284710,,
A284740,0.114762492,-0.07651715
A285340,,
A287300,0.16589541,0.031276063
A289040,0.099032368,0.028351971
A290270,0.198903428,-0.127586207
A290520,0.077521601,0.051980198
A290670,0.201725428,-0.191061274
A291660,,
A291890,0.081057645,0.021421108
A292050,0.101926051,-0.013245497
A292070,,
A294080,,
A294400,0.101249188,-0.01153143
A295040,0.101267674,-0.009336609
A297090,0.614753468,-0.117204301
A297570,0.274068614,0.031527395
A298380,0.258644255,0.120448179
A298410,,
A29923L,,
A299900,0.159298697,0.031059878
A299910,0.372238615,-0.014705882
A30018L,,
A300610,0.147378689,-0.009444853
A300720,0.240985258,0.028806584
A301410,0.171720262,0.054325956
A302550,0.324501162,-0.126843658
A304660,0.129452991,-0.014536341
A304670,0.153825483,0.012954659
A304770,0.146022141,0.042627092
A304840,0.143778784,0.467166979
A306950,0.201133153,-0.121241991
A307010,0.199144891,-0.114737883
A308460,,
A309110,,
A309210,0.223472499,0.004219409
A310840,0.02953876,0.002543235
A311120,,
A31134K,,
A312230,,
A312800,,
A313100,,
A313750,0.018090386,0.005
A314080,,
A316320,,
A316670,0.154380037,0.021483021
A317240,0.057070304,-0.002427184
A317400,0.311552694,0.055555556
A317530,0.324913183,-0.123502304
A317830,0.219914321,-0.220618557
A318000,0.172689712,-0.277824268
A318010,0.117432578,-0.069090909
A319400,0.177829363,0.002684049
A321260,0.116942029,0.150769231
A321550,0.180957372,0.275092937
A321820,,
A322000,0.290363303,-0.1
A322130,0.10229958,-0.015311162
A322180,0.144258024,-0.050890585
A322400,0.183047653,0.031856387
A322410,0.099960351,0.007115903
A32316K,,
A323280,0.025987484,-0.215017065
A326240,0.187715306,0.013677064
A328380,0.00965861,0
A329560,0.009302867,0.002457002
A330860,0.088809262,-0.033412888
A332290,0.012160125,0
A332570,0.082696905,-0.183510638
A333970,0.112423051,0.029966167
A336260,0.740385537,0.312245653
A33637L,0.29365952,2.674568966
A336730,,
A337120,0.124244094,-0.028184554
A337160,0.121657419,-0.021741319
A337450,0.005255934,0.0075
A340750,,
A34385K,,
A347000,0.101207482,0.788194444
A347140,0.008020866,0.002506266
A347770,0.051584466,-0.117486339
